gene.id,log2_diff,p.value,adj.p.value
DEK,0.3676029234109599,0.24437054526311236,0.35244901298353337
RL31,0.032372949381375804,0.9206394426252802,0.9467737235772236
A0A087WNM1,0.607110725262956,0.3080902422743537,0.42365066096042087
PPR18,-0.4517895160370671,0.021094522876744935,0.05793361382758688
KAD1,-1.1076435788486592,7.93834437480742e-5,0.0012214016345022227
Q8C048,0.4554940540689856,5.602363665461086e-4,0.004780603684552982
SYDC,-0.046745403475874525,0.5575044103141692,0.6596363049590156
PGAM5,-0.6556060886451469,0.00817493252424586,0.031232024611699424
THOC1,-0.3168247414389178,0.0819985117882051,0.1541339950358478
SMRCD,-0.3818848545019442,0.2725294428881025,0.385253575703827
RUNX3,-0.35397662654182227,0.1984673578509501,0.300376916458806
RAB5B,0.8758485977747235,2.1870939328611877e-4,0.0024209914784588424
HIBCH,-1.4447357317160616,7.022331813545131e-4,0.005664775764570313
KAPCA,0.2995376643396881,0.1437887343913367,0.23560777407462036
GGH,0.6054143492741701,0.02887831557970903,0.07188386011844437
CCAR1,-0.21564292941661733,0.020764050142329432,0.05742452643718969
SZRD1,-0.331940556577937,3.3636015096455033e-4,0.0032376695690669883
D3YX80,0.10652590301925358,0.7610631626803913,0.8270620952498935
KAPCB,-0.029150700747365477,0.9074623948840819,0.9375778178929391
LONM,-0.5327790147507585,0.002603328574993696,0.013869337394852778
HNRL2,0.2800698652836431,0.05124807170730394,0.10932739066038874
RO60,0.5583157385924267,0.02117705324449003,0.058047421088828155
F6YVP7,0.17149233374330208,0.2807356921544459,0.394058377328449
MFGM,2.0128523997008294,1.1914354491196507e-5,2.5803642743162e-4
B2L13,-0.20491539436337547,0.6441507270665721,0.7340119031718682
TOP2A,0.8566266939684475,0.0024402595134083173,0.013284746121492
FER,-0.09900908452548407,0.8655397190951687,0.9081558137425612
STOM,0.8379692355483925,0.012167009073552034,0.040607647536101216
SF3B3,-0.2486468894723295,0.0031778838173985207,0.01590938066876018
HMGCL,-0.11912091752285647,0.34981305797360435,0.46669067158514005
BACH,0.2059492975418422,0.3004829901146226,0.41562815536507147
RTF1,0.009211440449163888,0.9508725474110948,0.970590835118133
MTCH2,0.20447225987321005,0.3220900631933261,0.43836369597862174
A0A087WPH7,0.7171018227928023,0.3972056600537222,0.5122539013961434
DPP3,0.043733498546735916,0.28695694938924204,0.4010955606159697
SAFB1,-0.2929069336421968,0.14219926533976693,0.23348334255417025
SH3L1,0.04522627185206218,0.7419635097140302,0.8126580669516985
TM55A,-0.2796416492640219,0.09236737295565874,0.16723488470163564
RRP15,0.030026054120938284,0.9149693267545016,0.9424018524468051
TOM70,-0.7202872988870084,0.003070732228500086,0.015620667157506544
NDUAA,0.7267209902479692,0.01150759703522289,0.039086629092683775
ETHE1,-0.43184422694494273,0.0021576757359130076,0.012300912457243685
E9QP59,1.2294490062520467,1.9247846872786676e-4,0.0022493451550749236
Q63ZW6,0.4696651531158018,0.021031143717527106,0.057905248618655925
QCR6,-0.7095106112015053,0.0127366715457739,0.0419121685465805
HAP28,-0.1816370044649851,0.3913915547245901,0.5063962089831615
MED24,0.9849196241584082,0.15642591269262449,0.24964247580300702
RL28,-0.021320390879473905,0.9462957913739036,0.9671681786676086
CAPZB,0.019534918367085652,0.7524515309988145,0.8201639362774278
LPP,0.4545821397281564,0.008164970374234293,0.031232024611699424
